,Ozone,solar,Wind,Temp C,Month,Day,Year,Weather
0,41.0,190.0,7.4,67.0,5.0,1,2010,S
1,36.0,118.0,8.0,72.0,5.0,2,2010,C
2,12.0,149.0,12.6,74.0,5.0,3,2010,PS
3,18.0,313.0,11.5,62.0,5.0,4,2010,S
4,41.81512605042017,185.36666666666667,14.3,56.0,5.0,5,2010,S
5,28.0,185.36666666666667,14.9,66.0,5.0,6,2010,C
6,23.0,299.0,8.6,65.0,5.0,7,2010,PS
7,19.0,99.0,13.8,59.0,5.0,8,2010,C
8,8.0,19.0,20.1,61.0,5.0,9,2010,PS
9,41.81512605042017,194.0,8.6,69.0,5.0,10,2010,S
10,7.0,185.36666666666667,6.9,77.76923076923077,5.0,11,2010,C
11,16.0,256.0,9.7,69.0,5.0,12,2010,PS
12,11.0,290.0,9.2,66.0,5.0,13,2010,S
13,14.0,274.0,10.9,68.0,5.0,14,2010,S
14,18.0,65.0,13.2,58.0,5.0,15,2010,C
15,14.0,334.0,11.5,64.0,5.0,16,2010,S
16,34.0,307.0,12.0,66.0,5.0,17,2010,S
17,6.0,78.0,18.4,57.0,5.0,18,2010,C
18,30.0,322.0,11.5,68.0,5.0,19,2010,PS
19,11.0,44.0,9.7,62.0,5.0,20,2010,S
20,1.0,8.0,9.7,59.0,5.0,21,2010,S
21,11.0,320.0,16.6,73.0,5.0,22,2010,C
22,4.0,25.0,9.7,61.0,5.0,23,2010,PS
23,32.0,92.0,12.0,61.0,,24,2010,C
24,41.81512605042017,66.0,16.6,57.0,5.0,25,2010,PS
25,41.81512605042017,266.0,14.9,58.0,5.0,26,2010,C
26,41.81512605042017,185.36666666666667,8.0,57.0,5.0,27,2010,PS
27,23.0,13.0,12.0,67.0,5.0,28,2010,S
28,45.0,252.0,14.9,81.0,5.0,29,2010,S
29,115.0,223.0,5.7,79.0,5.0,30,2010,C
30,37.0,279.0,7.4,76.0,5.0,31,2010,PS
31,41.81512605042017,286.0,8.6,78.0,6.0,1,2010,S
32,41.81512605042017,287.0,9.7,74.0,6.0,2,2010,C
33,41.81512605042017,242.0,16.1,67.0,6.0,3,2010,PS
34,41.81512605042017,186.0,9.2,84.0,6.0,4,2010,C
35,41.81512605042017,220.0,8.6,85.0,6.0,5,2010,PS
36,41.81512605042017,264.0,14.3,79.0,6.0,6,2010,C
37,29.0,127.0,9.7,82.0,6.0,7,2010,PS
38,41.81512605042017,273.0,6.9,87.0,6.0,8,2010,S
39,71.0,291.0,13.8,90.0,6.0,9,2010,S
40,39.0,323.0,11.5,87.0,6.0,10,2010,S
41,41.81512605042017,259.0,10.9,93.0,6.0,11,2010,C
42,41.81512605042017,250.0,9.2,92.0,6.0,12,2010,PS
43,23.0,148.0,8.0,82.0,6.0,13,2010,S
44,41.81512605042017,332.0,13.8,80.0,6.0,14,2010,S
45,41.81512605042017,322.0,11.5,79.0,6.0,15,2010,C
46,21.0,191.0,14.9,77.0,6.0,16,2010,PS
47,37.0,284.0,20.7,72.0,6.0,17,2010,C
48,20.0,37.0,9.2,65.0,6.0,18,2010,PS
49,12.0,120.0,11.5,73.0,6.0,19,2010,S
50,13.0,137.0,10.3,76.0,6.0,20,2010,S
51,41.81512605042017,150.0,6.3,77.0,6.0,21,2010,S
52,41.81512605042017,59.0,1.7,76.0,6.0,22,2010,C
53,41.81512605042017,91.0,4.6,76.0,6.0,23,2010,PS
